Date,Category,Subcategory,Count,Days_To_Fix
2023-06-07,Thankless Tasks,Custom Data Migration Script Maintenance,4,21
2023-06-07,Thankless Tasks,Manual Quality Assurance Procedures,3,32
2023-06-07,Critical Infrastructure,Load Balancer Infrastructure Failure,1,3
2023-06-07,Executive Support,Leadership Portal Access Problems,2,1
2023-06-07,Executive Support,Executive Assistant Technology Problems,2,1
2023-06-07,Business Operations,Travel Booking System Major Problems,1,11
2023-06-07,User Support High,Production Team System Down Issues,2,2
2023-06-07,User Support Standard,Software Installation Basic Help,2,2
2023-06-07,User Support Standard,Printer Setup Basic Assistance,7,1
2023-06-07,User Support Standard,Phone System Basic Setup,4,2
2023-06-07,User Support Standard,Account Creation Standard Requests,6,1
2023-06-07,User Support Standard,Basic Training Standard Sessions,1,1
2023-06-08,Quick Wins,Automated Backup Monitoring,6,4
2023-06-08,Quick Wins,Load Balancer Health Checks,1,8
2023-06-08,Fill-ins,Email Signature Template Updates,9,3
2023-06-08,Fill-ins,Basic Hardware Inventory Updates,1,1
2023-06-08,Fill-ins,Wi-Fi Password Distribution Updates,1,3
2023-06-08,Fill-ins,Basic Documentation Formatting,2,1
2023-06-08,Fill-ins,Simple Report Template Updates,1,2
2023-06-08,Fill-ins,Basic File Organization Tasks,1,3
2023-06-08,Thankless Tasks,Vendor-Specific Manual Customizations,3,21
2023-06-08,Thankless Tasks,Legacy Code Manual Refactoring,1,21
2023-06-08,Executive Support,Board Meeting Technology Setup,2,1
2023-06-08,Executive Support,Executive Communication Platform Issues,1,1
2023-06-08,Executive Support,Executive Travel System Critical Issues,2,1
2023-06-08,Executive Support,Strategic Planning Platform Critical Issues,2,2
2023-06-08,User Support High,Finance Team System Access Problems,2,3
2023-06-08,User Support High,Remote Access Critical VPN Problems,5,4
2023-06-08,User Support Standard,Password Reset Requests,3,1
2023-06-08,User Support Standard,Software Installation Basic Help,6,2
2023-06-08,User Support Standard,Email Configuration Standard Support,4,2
2023-06-08,User Support Standard,Printer Setup Basic Assistance,4,2
2023-06-08,User Support Standard,Phone System Basic Setup,5,2
2023-06-08,User Support Standard,Account Creation Standard Requests,5,2
2023-06-09,Quick Wins,Self-Service Portal Implementation,1,3
2023-06-09,Quick Wins,Memory Usage Alert Thresholds,1,5
2023-06-09,Quick Wins,Automated Error Log Analysis,4,8
2023-06-09,Fill-ins,Printer Toner Replacement Scheduling,2,2
2023-06-09,Fill-ins,Simple Form Template Updates,2,1
2023-06-09,Fill-ins,Basic Documentation Formatting,2,1
2023-06-09,Fill-ins,Basic System Configuration Backups,3,2
2023-06-09,Fill-ins,Basic File Organization Tasks,2,1
2023-06-09,Thankless Tasks,Custom Data Migration Script Maintenance,1,42
2023-06-09,Thankless Tasks,Custom Manual Reporting Procedures,1,22
2023-06-09,Business Operations,Purchase Order System Critical Failures,1,7
2023-06-09,Business Operations,Vendor Payment Processing Issues,4,11
2023-06-09,User Support High,Sales Team Critical CRM Access Issues,5,4
2023-06-09,User Support High,Customer Service Critical Tool Failures,3,3
2023-06-09,User Support High,Executive Assistant Critical Tool Issues,1,3
2023-06-09,User Support Standard,Password Reset Requests,5,2
2023-06-09,User Support Standard,File Access Standard Permission Issues,3,1
2023-06-09,User Support Standard,Phone System Basic Setup,4,1
2023-06-09,User Support Standard,Mobile Device Standard Configuration,2,1
2023-06-09,User Support Standard,Account Creation Standard Requests,2,1
2023-06-09,User Support Standard,Basic Training Standard Sessions,6,1
2023-06-10,Quick Wins,Certificate Expiration Alerts,1,6
2023-06-10,Quick Wins,API Rate Limiting Implementation,2,4
2023-06-10,Quick Wins,Automated Error Log Analysis,3,6
2023-06-10,Business Operations,Expense Management Critical Issues,3,6
2023-06-10,User Support High,Remote Access Critical VPN Problems,3,2
2023-06-10,User Support Standard,Password Reset Requests,9,2
2023-06-10,User Support Standard,Basic Training Standard Sessions,6,2
2023-06-11,Quick Wins,Load Balancer Health Checks,3,4
2023-06-11,Fill-ins,Simple Report Template Updates,3,1
2023-06-11,Thankless Tasks,Complex Manual Data Reconciliation,2,21
2023-06-11,Executive Support,Strategic Planning Platform Critical Issues,1,1
2023-06-11,Business Operations,Facilities Management Critical Problems,2,10
2023-06-11,User Support High,Production Team System Down Issues,3,4
2023-06-11,User Support High,Remote Access Critical VPN Problems,1,1
2023-06-12,Quick Wins,Self-Service Portal Implementation,2,8
2023-06-12,Quick Wins,Database Connection Pooling,4,3
2023-06-12,Quick Wins,Network Bandwidth Monitoring,3,2
2023-06-12,Major Projects,Customer Data Platform Integration,1,129
2023-06-12,Major Projects,Regulatory Compliance System Overhaul,1,123
2023-06-12,Fill-ins,Printer Toner Replacement Scheduling,1,3
2023-06-12,Fill-ins,Wi-Fi Password Distribution Updates,1,3
2023-06-12,Fill-ins,Basic Documentation Formatting,4,3
2023-06-12,Fill-ins,Simple Report Template Updates,3,2
2023-06-12,Fill-ins,Equipment Cable Management,1,1
2023-06-12,Thankless Tasks,Vendor-Specific Manual Customizations,2,48
2023-06-12,Business Operations,Contract Management System Problems,4,9
2023-06-12,Business Operations,Expense Management Critical Issues,5,9
2023-06-12,Business Operations,Facilities Management Critical Problems,2,10
2023-06-12,User Support High,Key Client Presentation System Issues,2,2
2023-06-12,User Support Standard,Software Installation Basic Help,7,2
2023-06-12,User Support Standard,Email Configuration Standard Support,5,2
2023-06-12,User Support Standard,Printer Setup Basic Assistance,9,2
2023-06-12,User Support Standard,VPN Connection Standard Help,5,1
2023-06-12,User Support Standard,Phone System Basic Setup,6,2
2023-06-12,User Support Standard,Mobile Device Standard Configuration,9,1
2023-06-12,User Support Standard,Account Creation Standard Requests,9,1
2023-06-13,Quick Wins,Self-Service Portal Implementation,1,6
2023-06-13,Quick Wins,Automated Backup Monitoring,6,8
2023-06-13,Quick Wins,Memory Usage Alert Thresholds,4,3
2023-06-13,Quick Wins,Network Bandwidth Monitoring,3,3
2023-06-13,Major Projects,Global Network Infrastructure Redesign,1,92
2023-06-13,Fill-ins,Email Signature Template Updates,3,1
2023-06-13,Fill-ins,Printer Toner Replacement Scheduling,4,1
2023-06-13,Fill-ins,Simple Report Template Updates,2,3
2023-06-13,Fill-ins,Equipment Asset Tag Updates,4,3
2023-06-13,Fill-ins,Basic System Configuration Backups,6,1
2023-06-13,Fill-ins,Basic File Organization Tasks,3,3
2023-06-13,Thankless Tasks,Legacy Platform Manual Upgrades,2,53
2023-06-13,Executive Support,C-Suite Technology Access Issues,2,1
2023-06-13,Business Operations,Expense Management Critical Issues,1,12
2023-06-13,User Support High,Sales Team Critical CRM Access Issues,7,2
2023-06-13,User Support High,Critical Project Team Tool Failures,1,3
2023-06-13,User Support Standard,Password Reset Requests,3,1
2023-06-14,Quick Wins,Password Policy Automation,2,3
2023-06-14,Quick Wins,Service Health Dashboard,2,8
2023-06-14,Quick Wins,Automated Error Log Analysis,6,2
2023-06-14,Fill-ins,Email Signature Template Updates,4,2
2023-06-14,Fill-ins,Desktop Wallpaper Standardization,1,3
2023-06-14,Fill-ins,Printer Toner Replacement Scheduling,4,3
2023-06-14,Fill-ins,Basic Hardware Inventory Updates,6,3
2023-06-14,Fill-ins,Basic Documentation Formatting,3,2
2023-06-14,Fill-ins,Simple Report Template Updates,4,2
2023-06-14,Fill-ins,Basic System Configuration Backups,1,3
2023-06-14,Fill-ins,Simple User Guide Updates,4,1
2023-06-14,Thankless Tasks,Legacy Code Manual Refactoring,4,37
2023-06-14,Thankless Tasks,Manual Backup Process Maintenance,3,50
2023-06-14,Executive Support,Board Room AV System Failures,4,1
2023-06-14,Business Operations,Vendor Payment Processing Issues,7,11
2023-06-14,User Support High,Executive Assistant Critical Tool Issues,2,3
2023-06-14,User Support Standard,Software Installation Basic Help,4,2
2023-06-14,User Support Standard,Email Configuration Standard Support,4,1
2023-06-14,User Support Standard,Printer Setup Basic Assistance,3,1
2023-06-14,User Support Standard,Phone System Basic Setup,2,2
2023-06-14,User Support Standard,Basic Training Standard Sessions,8,2
2023-06-15,Quick Wins,Service Health Dashboard,4,6
2023-06-15,Major Projects,DevSecOps Pipeline Complete Implementation,1,137
2023-06-15,Fill-ins,Basic Hardware Inventory Updates,6,2
2023-06-15,Fill-ins,Simple Form Template Updates,2,2
2023-06-15,Fill-ins,Wi-Fi Password Distribution Updates,2,3
2023-06-15,Fill-ins,Simple Report Template Updates,1,3
2023-06-15,Thankless Tasks,Manual Backup Process Maintenance,4,29
2023-06-15,Thankless Tasks,Legacy Interface Manual Updates,1,58
2023-06-15,Business Operations,Purchase Order System Critical Failures,6,7
2023-06-15,User Support High,Customer Service Critical Tool Failures,2,2
2023-06-15,User Support High,Department Manager System Access Issues,2,4
2023-06-15,User Support High,Critical Project Team Tool Failures,2,2
2023-06-15,User Support High,Revenue Team Critical System Problems,4,3
2023-06-15,User Support Standard,Software Installation Basic Help,3,2
2023-06-15,User Support Standard,Printer Setup Basic Assistance,4,2
2023-06-15,User Support Standard,VPN Connection Standard Help,1,2
2023-06-15,User Support Standard,File Access Standard Permission Issues,5,2
2023-06-15,User Support Standard,Phone System Basic Setup,7,1
2023-06-16,Quick Wins,Password Policy Automation,1,7
2023-06-16,Quick Wins,Load Balancer Health Checks,1,4
2023-06-16,Fill-ins,Email Signature Template Updates,1,2
2023-06-16,Fill-ins,Printer Toner Replacement Scheduling,1,3
2023-06-16,Fill-ins,Basic Hardware Inventory Updates,2,1
2023-06-16,Fill-ins,Simple Form Template Updates,6,3
2023-06-16,Fill-ins,Wi-Fi Password Distribution Updates,1,2
2023-06-16,Fill-ins,Equipment Cable Management,1,2
2023-06-16,Business Operations,Invoice Processing System Problems,3,5
2023-06-16,User Support High,Remote Access Critical VPN Problems,3,1
2023-06-16,User Support High,Executive Assistant Critical Tool Issues,4,3
2023-06-16,User Support High,Department Manager System Access Issues,3,2
2023-06-16,User Support Standard,Password Reset Requests,4,2
2023-06-16,User Support Standard,Email Configuration Standard Support,3,1
2023-06-16,User Support Standard,Account Creation Standard Requests,5,2
2023-06-17,Quick Wins,Password Policy Automation,3,4
2023-06-17,Quick Wins,Database Connection Pooling,2,8
2023-06-17,Fill-ins,Equipment Cable Management,5,3
2023-06-17,Business Operations,Asset Management System Issues,4,3
2023-06-17,User Support High,Sales Team Critical CRM Access Issues,3,4
2023-06-17,User Support High,Remote Access Critical VPN Problems,4,4
2023-06-17,User Support High,Executive Assistant Critical Tool Issues,4,3
2023-06-18,Quick Wins,Password Policy Automation,3,6
2023-06-18,Quick Wins,Automated Backup Monitoring,2,4
2023-06-18,Quick Wins,Email Queue Monitoring,6,3
2023-06-18,Quick Wins,Network Bandwidth Monitoring,3,5
2023-06-18,Quick Wins,Automated Error Log Analysis,2,5
2023-06-18,Fill-ins,Basic Hardware Inventory Updates,1,3
2023-06-18,Thankless Tasks,Outdated System Manual Documentation,4,24
2023-06-18,Critical Infrastructure,DNS Infrastructure Complete Compromise,1,3
2023-06-18,Business Operations,Benefits Administration Critical Issues,2,4
2023-06-18,Business Operations,Invoice Processing System Problems,5,10
2023-06-18,User Support High,Production Team System Down Issues,1,4
2023-06-19,Quick Wins,Basic Security Patch Automation,2,2
2023-06-19,Quick Wins,Email Queue Monitoring,3,7
2023-06-19,Quick Wins,Network Bandwidth Monitoring,2,8
2023-06-19,Major Projects,Legacy System Complete Modernization,1,107
2023-06-19,Major Projects,Zero-Trust Security Architecture,1,117
2023-06-19,Major Projects,Customer Data Platform Integration,1,51
2023-06-19,Fill-ins,Email Signature Template Updates,2,3
2023-06-19,Fill-ins,Printer Toner Replacement Scheduling,1,2
2023-06-19,Fill-ins,Simple Form Template Updates,4,3
2023-06-19,Fill-ins,Meeting Room Equipment Basic Maintenance,7,1
2023-06-19,Fill-ins,Basic Documentation Formatting,3,1
2023-06-19,Fill-ins,Equipment Cable Management,2,2
2023-06-19,Thankless Tasks,Proprietary System Manual Integration,3,39
2023-06-19,Thankless Tasks,Outdated Manual Process Documentation,2,40
2023-06-19,Executive Support,C-Suite Technology Access Issues,3,1
2023-06-19,Executive Support,Executive Dashboard Critical Problems,2,2
2023-06-19,Executive Support,Executive Travel System Critical Issues,1,1
2023-06-19,Business Operations,Vendor Payment Processing Issues,5,3
2023-06-19,Business Operations,Asset Management System Issues,1,7
2023-06-19,User Support High,Customer Service Critical Tool Failures,4,2
2023-06-19,User Support High,Critical Project Team Tool Failures,1,2
2023-06-19,User Support High,Key Client Presentation System Issues,3,1
2023-06-19,User Support Standard,Password Reset Requests,9,1
2023-06-19,User Support Standard,Software Installation Basic Help,6,2
2023-06-19,User Support Standard,Printer Setup Basic Assistance,6,2
2023-06-19,User Support Standard,Phone System Basic Setup,7,1
2023-06-19,User Support Standard,Basic Training Standard Sessions,4,2
2023-06-20,Quick Wins,Basic Security Patch Automation,1,3
2023-06-20,Major Projects,Zero-Trust Security Architecture,1,158
2023-06-20,Fill-ins,Email Signature Template Updates,2,1
2023-06-20,Fill-ins,Simple Form Template Updates,2,1
2023-06-20,Fill-ins,Meeting Room Equipment Basic Maintenance,3,1
2023-06-20,Fill-ins,Wi-Fi Password Distribution Updates,3,2
2023-06-20,Fill-ins,Equipment Asset Tag Updates,4,1
2023-06-20,Fill-ins,Basic System Configuration Backups,4,2
2023-06-20,Fill-ins,Basic File Organization Tasks,1,2
2023-06-20,Thankless Tasks,Custom Data Migration Script Maintenance,2,55
2023-06-20,Thankless Tasks,Legacy Database Manual Optimization,1,43
2023-06-20,Executive Support,C-Suite Technology Access Issues,5,1
2023-06-20,Executive Support,Board Meeting Technology Setup,1,1
2023-06-20,Executive Support,Leadership Portal Access Problems,5,1
2023-06-20,Business Operations,Asset Management System Issues,2,7
2023-06-20,User Support High,Critical Project Team Tool Failures,2,1
2023-06-20,User Support High,Key Client Presentation System Issues,2,3
2023-06-20,User Support High,Revenue Team Critical System Problems,4,2
2023-06-20,User Support Standard,Password Reset Requests,3,2
2023-06-20,User Support Standard,Software Installation Basic Help,2,1
2023-06-20,User Support Standard,Email Configuration Standard Support,2,1
2023-06-20,User Support Standard,VPN Connection Standard Help,2,1
2023-06-20,User Support Standard,Mobile Device Standard Configuration,4,1
2023-06-21,Quick Wins,Self-Service Portal Implementation,3,4
2023-06-21,Quick Wins,Database Connection Pooling,1,8
2023-06-21,Quick Wins,Network Bandwidth Monitoring,2,6
2023-06-21,Quick Wins,Service Health Dashboard,3,8
2023-06-21,Major Projects,Global Network Infrastructure Redesign,1,109
2023-06-21,Fill-ins,Basic Hardware Inventory Updates,4,1
2023-06-21,Fill-ins,Basic Documentation Formatting,1,3
2023-06-21,Fill-ins,Simple Calendar Template Updates,5,3
2023-06-21,Fill-ins,Basic File Organization Tasks,1,1
2023-06-21,Executive Support,Board Meeting Technology Setup,3,2
2023-06-21,Executive Support,Executive Assistant Technology Problems,2,1
2023-06-21,Business Operations,Benefits Administration Critical Issues,3,7
2023-06-21,Business Operations,Expense Management Critical Issues,3,12
2023-06-21,Business Operations,Facilities Management Critical Problems,3,12
2023-06-21,User Support High,Customer Service Critical Tool Failures,1,4
2023-06-21,User Support High,Production Team System Down Issues,3,3
2023-06-21,User Support High,Remote Access Critical VPN Problems,1,3
2023-06-21,User Support Standard,Password Reset Requests,3,2
2023-06-21,User Support Standard,Software Installation Basic Help,7,1
2023-06-21,User Support Standard,Mobile Device Standard Configuration,5,2
2023-06-21,User Support Standard,Account Creation Standard Requests,5,2
2023-06-21,User Support Standard,Basic Training Standard Sessions,2,2
2023-06-22,Quick Wins,Password Policy Automation,2,2
2023-06-22,Quick Wins,Basic Security Patch Automation,2,7
2023-06-22,Quick Wins,Memory Usage Alert Thresholds,1,5
2023-06-22,Quick Wins,Automated Error Log Analysis,1,8
2023-06-22,Fill-ins,Email Signature Template Updates,1,3
2023-06-22,Fill-ins,Printer Toner Replacement Scheduling,2,2
2023-06-22,Fill-ins,Simple Report Template Updates,1,2
2023-06-22,Fill-ins,Equipment Asset Tag Updates,3,3
2023-06-22,Fill-ins,Simple Calendar Template Updates,5,1
2023-06-22,Fill-ins,Basic File Organization Tasks,3,2
2023-06-22,Fill-ins,Equipment Cable Management,5,2
2023-06-22,Executive Support,Executive Communication Platform Issues,4,1
2023-06-22,Executive Support,Board Room AV System Failures,4,1
2023-06-22,Business Operations,Benefits Administration Critical Issues,2,9
2023-06-22,Business Operations,Purchase Order System Critical Failures,4,6
2023-06-22,Business Operations,Contract Management System Problems,2,12
2023-06-22,User Support High,Production Team System Down Issues,3,1
2023-06-22,User Support High,Key Client Presentation System Issues,4,1
2023-06-22,User Support High,Revenue Team Critical System Problems,1,3
2023-06-22,User Support Standard,Password Reset Requests,4,1
2023-06-22,User Support Standard,Software Installation Basic Help,6,1
2023-06-22,User Support Standard,Email Configuration Standard Support,4,2
2023-06-22,User Support Standard,Mobile Device Standard Configuration,4,2
2023-06-22,User Support Standard,Account Creation Standard Requests,3,2
2023-06-23,Quick Wins,Password Policy Automation,2,2
2023-06-23,Quick Wins,Self-Service Portal Implementation,1,2
2023-06-23,Quick Wins,Automated Backup Monitoring,1,6
2023-06-23,Quick Wins,Network Bandwidth Monitoring,3,4
2023-06-23,Fill-ins,Printer Toner Replacement Scheduling,5,1
2023-06-23,Fill-ins,Basic Hardware Inventory Updates,5,3
2023-06-23,Fill-ins,Simple Form Template Updates,2,3
2023-06-23,Fill-ins,Simple Report Template Updates,6,1
2023-06-23,Fill-ins,Equipment Asset Tag Updates,2,3
2023-06-23,Fill-ins,Simple User Guide Updates,3,1
2023-06-23,Executive Support,Executive Communication Platform Issues,3,1
2023-06-23,Executive Support,Leadership Portal Access Problems,4,1
2023-06-23,Business Operations,Invoice Processing System Problems,3,5
2023-06-23,User Support High,Finance Team System Access Problems,4,1
2023-06-23,User Support High,Executive Assistant Critical Tool Issues,2,1
2023-06-23,User Support Standard,Email Configuration Standard Support,4,1
2023-06-23,User Support Standard,Printer Setup Basic Assistance,4,2
2023-06-23,User Support Standard,File Access Standard Permission Issues,3,1
2023-06-23,User Support Standard,Phone System Basic Setup,4,2
2023-06-23,User Support Standard,Mobile Device Standard Configuration,3,1
2023-06-24,Quick Wins,Self-Service Portal Implementation,1,7
2023-06-24,Quick Wins,Service Health Dashboard,1,4
2023-06-24,Fill-ins,Basic Hardware Inventory Updates,2,2
2023-06-24,Fill-ins,Basic Documentation Formatting,4,3
2023-06-24,Thankless Tasks,Manual Quality Assurance Procedures,1,48
2023-06-24,Business Operations,Asset Management System Issues,2,11
2023-06-24,User Support High,Sales Team Critical CRM Access Issues,5,2
2023-06-24,User Support High,Critical Project Team Tool Failures,2,4
2023-06-24,User Support High,Revenue Team Critical System Problems,5,1
2023-06-24,User Support Standard,Account Creation Standard Requests,2,1
2023-06-25,Fill-ins,Printer Toner Replacement Scheduling,3,3
2023-06-25,Fill-ins,Equipment Asset Tag Updates,1,3
2023-06-25,Fill-ins,Simple User Guide Updates,1,1
2023-06-25,Critical Infrastructure,Main Application Server Farm Crash,1,1
2023-06-25,Executive Support,C-Suite Technology Access Issues,4,1
2023-06-25,Executive Support,Executive Travel System Critical Issues,1,1
2023-06-25,Executive Support,Executive Assistant Technology Problems,4,1
2023-06-25,Executive Support,Strategic Planning Platform Critical Issues,2,1
2023-06-25,User Support High,Sales Team Critical CRM Access Issues,1,1
2023-06-25,User Support High,Critical Project Team Tool Failures,3,4
2023-06-26,Quick Wins,Load Balancer Health Checks,4,6
2023-06-26,Quick Wins,Basic Security Patch Automation,3,6
2023-06-26,Major Projects,DevSecOps Pipeline Complete Implementation,1,108
2023-06-26,Fill-ins,Email Signature Template Updates,5,3
2023-06-26,Fill-ins,Printer Toner Replacement Scheduling,3,3
2023-06-26,Fill-ins,Simple Form Template Updates,4,1
2023-06-26,Fill-ins,Meeting Room Equipment Basic Maintenance,3,3
2023-06-26,Fill-ins,Basic Documentation Formatting,2,1
2023-06-26,Fill-ins,Simple Report Template Updates,1,2
2023-06-26,Fill-ins,Basic File Organization Tasks,4,1
2023-06-26,Fill-ins,Simple User Guide Updates,1,1
2023-06-26,Executive Support,Leadership Portal Access Problems,1,1
2023-06-26,Executive Support,Executive Travel System Critical Issues,1,1
2023-06-26,Business Operations,Payroll Processing System Failures,1,12
2023-06-26,Business Operations,Purchase Order System Critical Failures,1,7
2023-06-26,Business Operations,Vendor Payment Processing Issues,1,4
2023-06-26,Business Operations,Expense Management Critical Issues,2,10
2023-06-26,User Support High,Revenue Team Critical System Problems,3,4
2023-06-26,User Support Standard,Software Installation Basic Help,6,2
2023-06-26,User Support Standard,Printer Setup Basic Assistance,6,1
2023-06-26,User Support Standard,Basic Training Standard Sessions,13,1
2023-06-27,Quick Wins,Certificate Expiration Alerts,5,5
2023-06-27,Fill-ins,Printer Toner Replacement Scheduling,2,2
2023-06-27,Fill-ins,Basic Hardware Inventory Updates,1,1
2023-06-27,Fill-ins,Simple Form Template Updates,3,3
2023-06-27,Fill-ins,Wi-Fi Password Distribution Updates,2,2
2023-06-27,Fill-ins,Basic Documentation Formatting,2,1
2023-06-27,Fill-ins,Basic File Organization Tasks,1,3
2023-06-27,Thankless Tasks,Manual Quality Assurance Procedures,2,57
2023-06-27,Business Operations,Benefits Administration Critical Issues,3,9
2023-06-27,User Support High,Production Team System Down Issues,3,3
2023-06-27,User Support Standard,Software Installation Basic Help,2,2
2023-06-27,User Support Standard,Email Configuration Standard Support,3,2
2023-06-27,User Support Standard,VPN Connection Standard Help,8,2
2023-06-27,User Support Standard,File Access Standard Permission Issues,4,1
2023-06-27,User Support Standard,Mobile Device Standard Configuration,3,2
2023-06-27,User Support Standard,Account Creation Standard Requests,5,1
2023-06-27,User Support Standard,Basic Training Standard Sessions,1,1
2023-06-28,Quick Wins,Automated Backup Monitoring,3,7
2023-06-28,Quick Wins,Load Balancer Health Checks,5,2
2023-06-28,Quick Wins,Network Bandwidth Monitoring,1,7
2023-06-28,Major Projects,Multi-Site Disaster Recovery Implementation,1,75
2023-06-28,Major Projects,Zero-Trust Security Architecture,1,131
2023-06-28,Major Projects,Enterprise Content Management Overhaul,1,142
2023-06-28,Fill-ins,Email Signature Template Updates,4,2
2023-06-28,Fill-ins,Desktop Wallpaper Standardization,3,2
2023-06-28,Fill-ins,Meeting Room Equipment Basic Maintenance,3,3
2023-06-28,Fill-ins,Equipment Asset Tag Updates,6,3
2023-06-28,Fill-ins,Basic System Configuration Backups,2,2
2023-06-28,Thankless Tasks,Legacy Interface Manual Updates,4,52
2023-06-28,Critical Infrastructure,Data Center Complete Power Failure,1,3
2023-06-28,Executive Support,Strategic Reporting System Failures,2,1
2023-06-28,Executive Support,Executive Travel System Critical Issues,1,2
2023-06-28,Executive Support,Executive Assistant Technology Problems,2,1
2023-06-28,Business Operations,Benefits Administration Critical Issues,4,10
2023-06-28,Business Operations,Invoice Processing System Problems,2,11
2023-06-28,User Support High,Remote Access Critical VPN Problems,2,3
2023-06-28,User Support Standard,VPN Connection Standard Help,2,2
2023-06-28,User Support Standard,File Access Standard Permission Issues,4,2
2023-06-28,User Support Standard,Phone System Basic Setup,7,2
2023-06-28,User Support Standard,Account Creation Standard Requests,1,1
2023-06-29,Quick Wins,Network Bandwidth Monitoring,3,4
2023-06-29,Quick Wins,Automated Error Log Analysis,2,8
2023-06-29,Major Projects,Enterprise Data Warehouse Migration,1,62
2023-06-29,Fill-ins,Desktop Wallpaper Standardization,2,3
2023-06-29,Fill-ins,Simple Form Template Updates,3,3
2023-06-29,Fill-ins,Equipment Asset Tag Updates,4,3
2023-06-29,Fill-ins,Basic File Organization Tasks,3,1
2023-06-29,Fill-ins,Equipment Cable Management,4,2
2023-06-29,Fill-ins,Simple User Guide Updates,3,2
2023-06-29,Thankless Tasks,Proprietary System Manual Integration,1,37
2023-06-29,Executive Support,Executive Dashboard Critical Problems,3,1
2023-06-29,Executive Support,Executive Communication Platform Issues,5,1
2023-06-29,Executive Support,Board Room AV System Failures,6,1
2023-06-29,Business Operations,Benefits Administration Critical Issues,4,5
2023-06-29,Business Operations,Contract Management System Problems,4,7
2023-06-29,Business Operations,Facilities Management Critical Problems,2,11
2023-06-29,User Support High,Sales Team Critical CRM Access Issues,1,1
2023-06-29,User Support High,Customer Service Critical Tool Failures,4,1
2023-06-29,User Support High,Key Client Presentation System Issues,4,2
2023-06-29,User Support High,Revenue Team Critical System Problems,2,2
2023-06-29,User Support Standard,Password Reset Requests,5,1
2023-06-29,User Support Standard,Software Installation Basic Help,6,2
2023-06-29,User Support Standard,Email Configuration Standard Support,3,1
2023-06-29,User Support Standard,VPN Connection Standard Help,2,1
2023-06-29,User Support Standard,Basic Training Standard Sessions,5,2
2023-06-30,Quick Wins,Network Bandwidth Monitoring,1,8
2023-06-30,Fill-ins,Simple Form Template Updates,1,1
2023-06-30,Fill-ins,Basic Documentation Formatting,3,1
2023-06-30,Fill-ins,Simple Report Template Updates,4,1
2023-06-30,Fill-ins,Basic System Configuration Backups,1,1
2023-06-30,Fill-ins,Basic File Organization Tasks,1,3
2023-06-30,Fill-ins,Equipment Cable Management,3,1
2023-06-30,Fill-ins,Simple User Guide Updates,1,3
2023-06-30,Thankless Tasks,Legacy Database Manual Optimization,1,43
2023-06-30,Thankless Tasks,Outdated Manual Process Documentation,2,39
2023-06-30,Executive Support,Strategic Planning Platform Critical Issues,1,1
2023-06-30,Business Operations,Vendor Payment Processing Issues,1,4
2023-06-30,Business Operations,Expense Management Critical Issues,4,5
2023-06-30,Business Operations,Travel Booking System Major Problems,2,7
2023-06-30,Business Operations,Facilities Management Critical Problems,2,4
2023-06-30,User Support High,Finance Team System Access Problems,1,3
2023-06-30,User Support Standard,Password Reset Requests,8,1
2023-06-30,User Support Standard,Printer Setup Basic Assistance,4,1
2023-06-30,User Support Standard,Mobile Device Standard Configuration,3,2
2023-07-01,Quick Wins,Automated Backup Monitoring,2,8
2023-07-01,Quick Wins,Database Connection Pooling,3,5
2023-07-01,Fill-ins,Basic Hardware Inventory Updates,2,2
2023-07-01,Fill-ins,Equipment Asset Tag Updates,1,1
2023-07-02,Quick Wins,Network Bandwidth Monitoring,3,3
2023-07-02,Fill-ins,Basic Documentation Formatting,3,1
2023-07-02,Fill-ins,Simple Report Template Updates,4,2
2023-07-02,Fill-ins,Equipment Cable Management,4,2
2023-07-02,Critical Infrastructure,DNS Infrastructure Complete Compromise,1,1
2023-07-02,Executive Support,Executive Travel System Critical Issues,2,1
2023-07-02,Executive Support,Executive Assistant Technology Problems,1,1
2023-07-02,Executive Support,Strategic Planning Platform Critical Issues,3,1
2023-07-02,User Support High,Executive Assistant Critical Tool Issues,4,1
2023-07-02,User Support Standard,Phone System Basic Setup,4,1
2023-07-03,Quick Wins,API Rate Limiting Implementation,1,5
2023-07-03,Major Projects,Regulatory Compliance System Overhaul,1,82
2023-07-03,Major Projects,Enterprise Identity Management Platform,1,164
2023-07-03,Fill-ins,Email Signature Template Updates,2,1
2023-07-03,Fill-ins,Simple Report Template Updates,3,3
2023-07-03,Fill-ins,Equipment Asset Tag Updates,2,1
2023-07-03,Fill-ins,Simple User Guide Updates,3,1
2023-07-03,Thankless Tasks,Custom Data Migration Script Maintenance,1,31
2023-07-03,Critical Infrastructure,Primary Payment System Total Failure,1,1
2023-07-03,Executive Support,Executive Assistant Technology Problems,2,1
2023-07-03,Business Operations,Contract Management System Problems,1,12
2023-07-03,User Support High,Customer Service Critical Tool Failures,2,1
2023-07-03,User Support High,Remote Access Critical VPN Problems,2,2
2023-07-03,User Support High,Critical Project Team Tool Failures,7,2
2023-07-03,User Support Standard,Software Installation Basic Help,3,1
2023-07-03,User Support Standard,Email Configuration Standard Support,8,2
2023-07-03,User Support Standard,Phone System Basic Setup,5,2
2023-07-03,User Support Standard,Basic Training Standard Sessions,15,1
2023-07-04,Quick Wins,Self-Service Portal Implementation,5,5
2023-07-04,Quick Wins,Database Connection Pooling,1,7
